lesswrong::5CfBDiQNg9upfipWk	Only Law Can Prevent Extinction\n\nThere\'s a quote I read as a kid that stuck with me my whole life:\n\n> "Remember that all tax revenue is the result of holding a 
lesswrong::6Xgy6CAf2jqHhynHL	What 2026 looks like\n\nThis was written for the [Vignettes Workshop](https://www.lesswrong.com/posts/jusSrXEAsiqehBsmh/vignettes-workshop-ai-impacts).[\\[1\\]](htt
lesswrong::895quRDaK6gR2rM82	Diseased thinking: dissolving questions about disease\n\n**Related to:** [Disguised Queries](https://www.lesswrong.com/lw/nm/disguised_queries/), [Words as Hidden
lesswrong::9RL9MuGZjzm4q3gKG	What just happened? A retrospective of AI alignment\n\nThis sequence is about the last decade in AI alignment. Over five posts, it recounts the gradual transition
lesswrong::CoZhXrhpQxpy9xw9y	Where I agree and disagree with Eliezer\n\n(*Partially in response to *[*AGI Ruin: A list of Lethalities*](https://www.lesswrong.com/posts/uMQ3cqWDPHhjtiesc/agi-
lesswrong::JH6tJhYpnoCfFqAct	The Company Man\n\nTo get to the campus, I have to walk past the fentanyl zombies. I call them fentanyl zombies because it helps engender a sort of detached, low-
lesswrong::Kbm6QnJv9dgWsPHQP	Schelling fences on slippery slopes\n\nSlippery slopes are themselves a slippery concept. Imagine trying to explain them to an alien:  \n  \n"Well, we right-thinkin
lesswrong::PBRWb2Em5SNeWYwwB	Humans are not automatically strategic\n\nReply to: [A "Failure to Evaluate Return-on-Time" Fallacy](/lw/2p1/a_failure_to_evaluate_returnontime_fallacy/)\n\nLionhe
lesswrong::Wg6ptgi2DupFuAnXG	Orienting Toward Wizard Power\n\nFor months, I had the feeling: something is wrong. Some core part of myself had gone missing.\n\nI had words and ideas cached, whi
lesswrong::YMo5PuXnZDwRjhHhE	LessWrong\'s (first) album: I Have Been A Good Bing\n\ntl;dr: LessWrong released an album! Listen to it now on Spotify, YouTube, YouTube Music, or Apple Music.\n\nOn
lesswrong::aPeJE8bSo6rAFoLqg	SolidGoldMagikarp (plus, prompt generation)\n\nUPDATE (14th Feb 2023): ChatGPT appears to have been patched! However, very strange behaviour can still be elicited
lesswrong::bx3gkHJehRCYZAF3r	Pain is not the unit of Effort\n\n(Content warning: self-harm, parts of this post may be actively counterproductive for readers with certain mental illnesses or i
lesswrong::gFMH3Cqw4XxwL69iy	Eight Short Studies On Excuses\n\n**The Clumsy Game-Player**\n\nYou and a partner are playing an Iterated Prisoner\'s Dilemma. Both of you have publicly pre-committe
lesswrong::iNsy7MsbodCyNTwKs	Eliezer and I wrote a book: If Anyone Builds It, Everyone Dies\n\nEliezer and I wrote a book. It’s titled If Anyone Builds It, Everyone Dies. Unlike a lot of ot
lesswrong::kipMvuaK3NALvFHc9	What an actually pessimistic containment strategy looks like\n\nIsrael as a nation state has an ongoing national security issue involving Iran. \n\nFor the last tw
lesswrong::nR3DkyivzF4ve97oM	How Go Players Disempower Themselves to AI\n\n*Written as part of the MATS 9.1 extension program, mentored by Richard Ng*o.\n\nFrom March 9th to 15th 2016, Go playe
lesswrong::niQ3heWwF6SydhS7R	Making Vaccine\n\nBack in December, I [asked](https://www.lesswrong.com/posts/5BikXJnAJpSzDD9Qv/how-hard-would-it-be-to-make-a-covid-vaccine-for-oneself) how hard
lesswrong::qc7P2NwfxQMC3hdgm	Rationalism before the Sequences\n\nI\'m here to tell you a story about what it was like to be a rationalist decades before the Sequences and the formation of the 
lesswrong::uXn3LyA8eNqpvdoZw	Preface\n\nYou hold in your hands a compilation of two years of daily blog posts. In retrospect, I look back on that project and see a large number of things I di
lesswrong::xg3hXCYQPJkwHyik2	The Best Textbooks on Every Subject\n\nFor years, my self-education was stupid and wasteful. I learned by consuming blog posts, Wikipedia articles, classic texts,
